Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 8",,,,,,,,,,,,,,,,,,,,,,,,
"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 9",,,,,,,,,,,,,,,,,,,,,,,,
LEBER CONGENITAL AMAUROSIS 10,Leber Congenital Amaurosis 10,C11.270.516,C11.768.364,,,,,,,,,,,,,,,,,,,,,*Leber Congenital Amaurosis
FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 2,Familial Cold Autoinflammatory Syndrome 2,C16.320.382.500,C17.800.827.368.500,,,,,,,,,,,,,,,,,,,,,*Cryopyrin-Associated Periodic Syndromes
LIPOPROTEIN GLOMERULOPATHY,Lipoprotein Glomerulopathy,C12.777.419,C13.351.968.419,,,,,,,,,,,,,,,,,,,,"A rare kidney disease that primarily affects people of Japanese or Chinese descent. It is characterized by PROTEINURIA, progressive kidney failure, and distinctive LIPOPROTEIN thrombi in glomerular capillaries. Mutations in the APOE gene have been identified. OMIM: 611771",*Kidney Diseases
"ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS","Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps",C05.651.475,C10.597.613.500,C23.888.592.608.500,C14.907.617.812,,,,,,,,,,,,,,,,,,,*Muscle Cramp;*Raynaud Disease
BRUGADA SYNDROME 2,Brugada Syndrome 2,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,,*Brugada Syndrome
ELLIPTOCYTOSIS 1,Elliptocytosis 1,C15.378.071.141.150.365,C16.320.070.365,,,,,,,,,,,,,,,,,,,,PROM    mutation in EPB41,"*Elliptocytosis, Hereditary"
BESTROPHINOPATHY,Bestrophinopathy,C11.768,C11.270,C16.320.290,,,,,,,,,,,,,,,,,,,mutation in BEST1,"*Retinal Diseases;*Eye Diseases, Hereditary"
"SEX REVERSAL, FEMALE, WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS","Sex Reversal, Female, With Dysgenesis Of Kidneys, Adrenals, And Lungs",C08.695,C16.131.740,C12.706.316.064.124,C13.351.875.253.064.124,C16.131.939.316.064.124,C19.391.119.064.124,C19.053,C12.777.419,C13.351.968.419,,,,,,,,,,,,,,"*Respiratory System Abnormalities;*46, XX Testicular Disorders of Sex Development;*Adrenal Gland Diseases;*Kidney Diseases"
TEMPLE-BARAITSER SYNDROME,Temple-Baraitser Syndrome,A01.378.800.667.430.705,A01.378.610.250.300.792.380,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C23.300.820,,,,,,,,,,,,,,,,"Thumb/*abnormalities;Hallux/*abnormalities;*Intellectual Disability;*Nails, Malformed"
LONG QT SYNDROME 9,Long Qt Syndrome 9,C14.280.067.565,C16.131.240.400.715,C23.550.073.547,,,,,,,,,,,,,,,,,,,,*Long QT Syndrome
LONG QT SYNDROME 10,Long Qt Syndrome 10,C14.280.067.565,C16.131.240.400.715,C23.550.073.547,,,,,,,,,,,,,,,,,,,,*Long QT Syndrome
LONG QT SYNDROME 11,Long Qt Syndrome 11,C14.280.067.565,C16.131.240.400.715,C23.550.073.547,,,,,,,,,,,,,,,,,,,,*Long QT Syndrome
BRUGADA SYNDROME 3,Brugada Syndrome 3,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,,*Brugada Syndrome
BRUGADA SYNDROME 4,Brugada Syndrome 4,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,,*Brugada Syndrome
ALDOLASE A DEFICIENCY,Glycogen Storage Disease XII,C16.320.565.202.449,C18.452.648.202.449,,,,,,,,,,,,,,,,,,,,mutation in ALDOA,*Glycogen Storage Disease
LETHAL ARTHROGRYPOSIS WITH ANTERIOR HORN CELL DISEASE,Lethal Arthrogryposis With Anterior Horn Cell Disease,C10.574.562,C10.668.467,C05.550.150,C05.651.102,C05.660.077,C16.131.621.077,,,,,,,,,,,,,,,,aka LAAHD; mutations in GLE1,*Motor Neuron Disease;*Arthrogryposis
AMYOTROPHIC LATERAL SCLEROSIS 9,Amyotrophic Lateral Sclerosis 9,C10.228.854.139,C10.574.562.250,C10.574.950.050,C10.668.467.250,C18.452.845.800.050,,,,,,,,,,,,,,,,,aka ALS9; mutation in ANG,*Amyotrophic Lateral Sclerosis
RIDDLE SYNDROME,Riddle Syndrome,C20.673,C10.597.606.150.550,C23.888.592.604.150.550,F03.625.562,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,,mutation in RNF168,*Immunologic Deficiency Syndromes;*Learning Disorders;*Craniofacial Abnormalities
CHROMOSOME 15q13.3 DELETION SYNDROME,Chromosome 15q13.3 Microdeletion Syndrome,C16.131.260,C16.320.180,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C10.228.140.490.631,C10.597.742,C23.888.592.742,C23.550.210.050.500.500,G05.355.600.800.180,G05.365.590.029.530.175,G05.365.590.175.050.500.500,G05.365.590.762.180,G05.700.131.500.500,A11.284.187.520.300.370.385,G05.360.162.520.300.370.385,,,,,"Heterozygous deletion of chromosome 15q13.3 is associated with a highly variable phenotype. Individuals with the deletion may have mild to moderate INTELLECTUAL DISABILITY or learning difficulties, or may have no cognitive deficits. Some individuals have EPILEPSY and dysmorphic features may occur, but there is no consistent or recognizable phenotype. Patients with homozygous deletions in this region have severe neurodevelopmental problems, with epileptic encephalopathy, MUSCLE HYPOTONIA, and poor growth. OMIM: 612001","*Chromosome Disorders;*Intellectual Disability;*Seizures;*Chromosome Deletion;Chromosomes, Human, Pair 15"
THROMBOCYTOPENIA 4,Thrombocytopenia 4,C15.378.140.855,,,,,,,,,,,,,,,,,,,,,,*Thrombocytopenia
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE In","Congenital Disorder Of Glycosylation, Type In",C16.320.565.202.125,C18.452.648.202.125,,,,,,,,,,,,,,,,,,,,,*Congenital Disorders of Glycosylation
"COENZYME Q10 DEFICIENCY, PRIMARY, 4",,,,,,,,,,,,,,,,,,,,,,,,
"SPASTIC PARAPLEGIA 39, AUTOSOMAL RECESSIVE","Spastic Paraplegia 39, Autosomal Recessive",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,mutation in PNPLA6,"*Spastic Paraplegia, Hereditary"
DYSTONIA 16,Dystonia 16,C10.228.662.300,,,,,,,,,,,,,,,,,,,,,mutation in PRKRA,*Dystonic Disorders
AMYOTROPHIC LATERAL SCLEROSIS 10,Amyotrophic Lateral Sclerosis 10,C10.228.854.139,C10.574.562.250,C10.574.950.050,C10.668.467.250,C18.452.845.800.050,,,,,,,,,,,,,,,,,,*Amyotrophic Lateral Sclerosis
MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (ENCEPHALOMYOPATHIC WITH OR WITHOUT METHYLMALONIC ACIDURIA),,,,,,,,,,,,,,,,,,,,,,,,
"MITOCHONDRIAL DNA DEPLETION SYNDROME, ENCEPHALOMYOPATHIC FORM, WITH RENAL TUBULOPATHY, AUTOSOMAL RECESSIVE",Mitochondrial neurogastrointestinal encephalopathy syndrome,C05.651.460.620,C10.228.140.163.540,C10.668.491.500.500,C18.452.132.540,C18.452.660.560.620,C06.405.469.531.492.500,,,,,,,,,,,,,,,,"A severe, hereditary, congenital disorder with autosomal recessive inheritance that is characterized by neonatal HYPOTONIA; LACTIC ACIDOSIS, and neurologic deterioration. KIDNEY TUBULES may also be affected. Mutations in the RRM2B gene have been identified. OMIM: 612075",*Mitochondrial Encephalomyopathies;*Intestinal Pseudo-Obstruction
"HYPOURICEMIA, RENAL, 2","Hypouricemia, Renal, 2",C12.777.419.815,C13.351.968.419.815,C16.320.565.861,C18.452.648.861,,,,,,,,,,,,,,,,,,,"*Renal Tubular Transport, Inborn Errors"
RETINITIS PIGMENTOSA 41,Retinitis Pigmentosa 41,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,mutations in PROM1; aka RP41,*Retinitis Pigmentosa
OCULOAURICULAR SYNDROME,Oculoauricular Syndrome,C11.250,C16.131.384,A01.456.313,A09.246,,,,,,,,,,,,,,,,,,"Microphthalmia, Microcornea, Anterior Segment Dysgenesis, Cataract, Ocular Coloboma, Retinal Pigment Epithelium Abnormalities, Rod-Cone Dystrophy, And Anomalies Of The External Ear",*Eye Abnormalities;Ear/*abnormalities
TREHALASE DEFICIENCY,Trehalase Deficiency,C16.320.565.202,C18.452.648.202,D08.811.277.450.329.865,C23.888.821.214,,,,,,,,,,,,,,,,,,,"*Carbohydrate Metabolism, Inborn Errors;Trehalase/*deficiency;*Diarrhea"
EPIDERMOLYSIS BULLOSA SIMPLEX WITH PYLORIC ATRESIA,Epidermolysis Bullosa Simplex With Pyloric Atresia,A03.556.875.875.799,C16.131.831.493.180,C16.320.850.275.180,C17.800.804.493.180,C17.800.827.275.180,C17.800.865.410.180,,,,,,,,,,,,,,,,,Pylorus/*abnormalities;*Epidermolysis Bullosa Simplex
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 4","Epileptic Encephalopathy, Early Infantile, 4",C10.228.140.490.375.760,,,,,,,,,,,,,,,,,,,,,,"*Spasms, Infantile"
CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS,Cerebroretinal Microangiopathy with Calcifications and Cysts,C10.597.350.090,C23.888.592.350.090,C18.452.174.130,C11.768,C10.228.140.490.631,C10.597.742,C23.888.592.742,C10.228.140.695,C04.588.614.250.195,C10.228.140.211,C10.551.240.250,C05.651.512,C10.597.613.550.550,C23.888.592.608.550.550,C04.588.614.250.387,C10.500.142,C10.551.240.375,C16.131.666.142,,,,,*Ataxia;*Calcinosis;*Retinal Diseases;*Seizures;*Leukoencephalopathies;*Brain Neoplasms;*Muscle Spasticity;*Central Nervous System Cysts
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9","Maturity-Onset Diabetes Of The Young, Type 9",C18.452.394.750.149,C19.246.300,,,,,,,,,,,,,,,,,,,,,"*Diabetes Mellitus, Type 2"
"LEUKODYSTROPHY, HYPOMYELINATING, 4","Leukodystrophy, Hypomyelinating, 4",C18.452.660,C10.228.140.163.100.362,C10.228.140.695.625,C10.314.400,C10.574.500.494,C16.320.400.367,C16.320.565.189.362,C18.452.132.100.362,C18.452.648.189.362,,,,,,,,,,,,,mutation in HSPD1,*Mitochondrial Diseases;*Hereditary Central Nervous System Demyelinating Diseases
INFLAMMATORY BOWEL DISEASE 13,Inflammatory Bowel Disease 13,C06.405.205.731,C06.405.469.432,,,,,,,,,,,,,,,,,,,,,*Inflammatory Bowel Diseases
CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS,Crouzon Syndrome With Acanthosis Nigricans,C17.800.621.430.530.100,C05.116.099.370.231,C05.660.207.231,C16.131.621.207.231,,,,,,,,,,,,,,,,,,,*Acanthosis Nigricans;*Craniofacial Dysostosis
MYD88 DEFICIENCY,MYD88 Deficiency,C20.673,,,,,,,,,,,,,,,,,,,,,"A hereditary autosomal recessive disorder caused by mutations in the MYD88 gene that result in susceptibility to severe, life-threatening, recurrent pyogenic BACTERIAL INFECTIONS in affected children, including invasive pneumococcal disease. OMIM: 612260",*Immunologic Deficiency Syndromes
"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 10",,,,,,,,,,,,,,,,,,,,,,,,
"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 11",,,,,,,,,,,,,,,,,,,,,,,,
INFLAMMATORY BOWEL DISEASE 19,Inflammatory Bowel Disease 19,C06.405.205.731,C06.405.469.432,,,,,,,,,,,,,,,,,,,,,*Inflammatory Bowel Diseases
"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 6","Generalized Epilepsy With Febrile Seizures Plus, Type 6",C10.228.140.490.650,C10.228.140.490.375,,,,,,,,,,,,,,,,,,,,,"*Seizures, Febrile;*Epilepsy, Generalized"
"MECKEL SYNDROME, TYPE 6","Meckel Syndrome, Type 6",C10.500.680.488,C16.131.666.680.488,C23.300.707.186,C12.777.419.403.875,C13.351.968.419.403.875,C16.131.077,,,,,,,,,,,,,,,,,"*Encephalocele;*Polycystic Kidney Diseases;*Abnormalities, Multiple"
JOUBERT SYNDROME 9,Joubert Syndrome 9,C10.228.140.252,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C12.777.419,C13.351.968.419,C11.250,C16.131.384,,,,,,,,,,,,,,*Cerebellar Diseases;*Intellectual Disability;*Kidney Diseases;*Eye Abnormalities
"NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 1",,,,,,,,,,,,,,,,,,,,,,,,
"NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 2",,,,,,,,,,,,,,,,,,,,,,,,
JOUBERT SYNDROME 8,Joubert Syndrome 8,C10.228.140.252,C11.270,C16.320.290,,,,,,,,,,,,,,,,,,,,"*Cerebellar Diseases;*Eye Diseases, Hereditary"
BIRK-BAREL MENTAL RETARDATION DYSMORPHISM SYNDROME,Birk-Barel Mental Retardation Dysmorphism Syndrome,C10.597.613.575,C23.888.592.608.575,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,*Muscle Hypotonia;*Intellectual Disability;*Craniofacial Abnormalities
CD59 DEFICIENCY,CD59 Deficiency,C12.777.934.734.634,C13.351.968.934.734.634,C23.888.942.750.634,C15.378.071.141,,,,,,,,,,,,,,,,,,mutation in CD59,"*Hemoglobinuria;*Anemia, Hemolytic"
PREMATURE OVARIAN FAILURE 6,Premature Ovarian Failure 6,C13.351.500.056.630.750,C19.391.630.750,,,,,,,,,,,,,,,,,,,,aka POF6; associated with mutation in FIGLA,*Primary Ovarian Insufficiency
CHROMOSOME 2q32-q33 DELETION SYNDROME,Chromosome 2q32-Q33 Deletion Syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C23.550.210.050.500.500,G05.355.600.800.180,G05.365.590.029.530.175,G05.365.590.175.050.500.500,G05.365.590.762.180,G05.700.131.500.500,A11.284.187.520.300.235.245,G05.360.162.520.300.235.245,C16.131.077,,,,,,,,,,"*Intellectual Disability;*Chromosome Deletion;Chromosomes, Human, Pair 2;*Abnormalities, Multiple"
"SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
JERVELL AND LANGE-NIELSEN SYNDROME 2,Jervell And Lange-Nielsen Syndrome 2,C14.280.067.565.440,C16.131.240.400.715.440,,,,,,,,,,,,,,,,,,,,,*Jervell-Lange Nielsen Syndrome
"SPONDYLOCHEIRODYSPLASIA, EHLERS-DANLOS SYNDROME-LIKE","Spondylocheirodysplasia, Ehlers-Danlos Syndrome-Like",C05.116.099.708,C16.320.728,C14.907.454.240,C15.378.463.515.240,C16.131.831.428,C16.320.850.260,C17.300.200.310,C17.800.804.428,C17.800.827.260,,,,,,,,,,,,,mutation in SLC39A13,*Osteochondrodysplasias;*Ehlers-Danlos Syndrome
HEPARIN COFACTOR II DEFICIENCY,Heparin Cofactor II Deficiency,D12.644.861.060.750,D12.776.124.790.106.450,D12.776.377.715.085.450,D12.776.872.060.750,C14.907.355.830,,,,,,,,,,,,,,,,,mutation in HCF2,Heparin Cofactor II/*deficiency;*Thrombosis
COWDEN SYNDROME 2,,,,,,,,,,,,,,,,,,,,,,,,
KALLMANN SYNDROME 5,Kallmann Syndrome 5,C12.706.316.096.750,C13.351.875.253.096.750,C16.131.939.316.096.750,C16.320.467,C19.391.119.096.750,C19.391.482.600,,,,,,,,,,,,,,,,mutation in CHD7,*Kallmann Syndrome
MAJOR AFFECTIVE DISORDER 7,Major Affective Disorder 7,F03.084.500,,,,,,,,,,,,,,,,,,,,,aka MAFD7,*Bipolar Disorder
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq",,,,,,,,,,,,,,,,,,,,,,,,
PONTOCEREBELLAR HYPOPLASIA TYPE 2B,Pontocerebellar Hypoplasia Type 2B,C10.228.140.252,A08.186.211.132.810.428.600,A08.186.211.132.810.428.200,,,,,,,,,,,,,,,,,,,aka PCH2B; mutations in TSEN2,*Cerebellar Diseases;Pons/*abnormalities;Cerebellum/*abnormalities
PONTOCEREBELLAR HYPOPLASIA TYPE 2C,Pontocerebellar Hypoplasia Type 2C,C10.228.140.252,A08.186.211.132.810.428.600,A08.186.211.132.810.428.200,,,,,,,,,,,,,,,,,,,mutations in TSEN34; aka PCH2C,*Cerebellar Diseases;Pons/*abnormalities;Cerebellum/*abnormalities
"BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS","Bone Fragility with Contractures, Arterial Rupture, and Deafness",C23.300.909,A07.231.114,A02.835.232,A10.165.265,C05.550.323,C05.651.197,C17.300,D08.811.682.690.708.660,,,,,,,,,,,,,,mutation in PLOD3,"*Rupture, Spontaneous;Arteries/*abnormalities;Bone and Bones/*abnormalities;*Contracture;*Connective Tissue Diseases;Procollagen-Lysine, 2-Oxoglutarate 5-Dioxygenase/*deficiency"
OSTEOARTHRITIS SUSCEPTIBILITY 5,,,,,,,,,,,,,,,,,,,,,,,,
PREKALLIKREIN DEFICIENCY,Prekallikrein Deficiency,D08.811.277.656.300.760.442.725,D08.811.277.656.959.350.442.725,D12.776.124.125.597.712,D23.119.597.712,C15.378.100,,,,,,,,,,,,,,,,,mutation in KLKB1,Prekallikrein/*deficiency;*Blood Coagulation Disorders
COMPLEMENT COMPONENT 6 DEFICIENCY,Complement Component 6 Deficiency,C20.673,D12.776.124.486.274.550,,,,,,,,,,,,,,,,,,,,mutation in C6 gene,*Immunologic Deficiency Syndromes;Complement C6/*deficiency
"SKELETAL DEFECTS, GENITAL HYPOPLASIA, AND MENTAL RETARDATION","Skeletal Defects, Genital Hypoplasia, And Mental Retardation",A05.360,C05.116.099,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C12.294.829.258,C12.706.258,C16.131.939.258,C19.391.829.258,,,,,,,,,,,,mutations in ZBTB16,"Genitalia/*abnormalities;*Bone Diseases, Developmental;*Intellectual Disability;*Cryptorchidism"
"CHROMOSOME 1q21.1 DELETION SYNDROME, 1.35-MB","Chromosome 1q21.1 Deletion Syndrome, 1.35-Mb",C05.660.207.536,C10.500.507.400.249,C16.131.621.207.532,C16.131.666.507.400.249,C23.550.210.050.500.500,G05.355.600.800.180,G05.365.590.029.530.175,G05.365.590.175.050.500.500,G05.365.590.762.180,G05.700.131.500.500,A11.284.187.520.300.235.240,G05.360.162.520.300.235.240,C16.131.077,,,,,,,,,,"*Megalencephaly;*Chromosome Deletion;Chromosomes, Human, Pair 1;*Abnormalities, Multiple"
DIAMOND-BLACKFAN ANEMIA 4,Diamond-Blackfan Anemia 4,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,mutations in RPS17,"*Anemia, Diamond-Blackfan"
DIAMOND-BLACKFAN ANEMIA 5,Diamond-Blackfan Anemia 5,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,mutations in RPL35A,"*Anemia, Diamond-Blackfan"
"SPASTIC PARAPLEGIA 42, AUTOSOMAL DOMINANT","Spastic Paraplegia 42, Autosomal Dominant",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,also known as SPG42,"*Spastic Paraplegia, Hereditary"
"FOCAL SEGMENTAL GLOMERULOSCLEROSIS 4, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,,,,,,
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2",,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND-BLACKFAN ANEMIA 6,Aase Smith syndrome 2,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,,"*Anemia, Diamond-Blackfan"
DIAMOND-BLACKFAN ANEMIA 7,Diamond-Blackfan Anemia 7,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,mutations in RPL11,"*Anemia, Diamond-Blackfan"
DIAMOND-BLACKFAN ANEMIA 8,Diamond-Blackfan Anemia 8,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,,,,,,,,,,,mutations in RPS7,"*Anemia, Diamond-Blackfan"
"INFLAMMATORY BOWEL DISEASE 25, AUTOSOMAL RECESSIVE","Inflammatory Bowel Disease 25, Autosomal Recessive",C06.405.205.731,C06.405.469.432,,,,,,,,,,,,,,,,,,,,,*Inflammatory Bowel Diseases
RETINITIS PIGMENTOSA 46,Retinitis Pigmentosa 46,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,mutations in  IDH3B; aka RP46,*Retinitis Pigmentosa
AMYOTROPHIC LATERAL SCLEROSIS 11,Amyotrophic Lateral Sclerosis 11,C10.228.854.139,C10.574.562.250,C10.574.950.050,C10.668.467.250,C18.452.845.800.050,,,,,,,,,,,,,,,,,,*Amyotrophic Lateral Sclerosis
"ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO","Adenylate Kinase Deficiency, Hemolytic Anemia Due To",D08.811.913.696.650.025,C15.378.071.141,,,,,,,,,,,,,,,,,,,,,"Adenylate Kinase/*deficiency;*Anemia, Hemolytic"
"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 5",,,,,,,,,,,,,,,,,,,,,,,,
ENDOCRINE-CEREBROOSTEODYSPLASIA,Endocrine-Cerebroosteodysplasia,C19,C10.228,,,,,,,,,,,,,,,,,,,,,*Endocrine System Diseases;*Central Nervous System Diseases
"SPHEROCYTOSIS, TYPE 4","Spherocytosis, Type 4",C15.378.071.141.150.785,C16.320.070.785,,,,,,,,,,,,,,,,,,,,aka SPH4 or HS4; mutations in  SLC4A1,"*Spherocytosis, Hereditary"
"EPISODIC ATAXIA, TYPE 6","Episodic Ataxia, Type 6",C10.228.140.252.190,C10.597.350.090.500,C23.888.592.350.090.200,,,,,,,,,,,,,,,,,,,,*Cerebellar Ataxia
CONE-ROD DYSTROPHY 12,Cone-Rod Dystrophy 12,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,mutation in PROM1,*Retinitis Pigmentosa
"URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 3",,,,,,,,,,,,,,,,,,,,,,,,
"SPHEROCYTOSIS, TYPE 5","Spherocytosis, Type 5",C15.378.071.141.150.785,C16.320.070.785,,,,,,,,,,,,,,,,,,,,aka SPH5 or HS5; mutations in  EPB42,"*Spherocytosis, Hereditary"
"AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
KALLMANN SYNDROME 6,Kallmann Syndrome 6,C12.706.316.096.750,C13.351.875.253.096.750,C16.131.939.316.096.750,C16.320.467,C19.391.119.096.750,C19.391.482.600,,,,,,,,,,,,,,,,mutation in FGF8,*Kallmann Syndrome
"MICROCEPHALY 7, PRIMARY, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
LEBER CONGENITAL AMAUROSIS 13,Leber Congenital Amaurosis 13,C11.270.516,C11.768.364,,,,,,,,,,,,,,,,,,,,,*Leber Congenital Amaurosis
KAHRIZI SYNDROME,Kahrizi Syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C11.510.245,C11.250.110,C16.131.384.282,C23.550.291.812,E01.370.600.230,C05.116.900.800.500,,,,,,,,,,,,,*Intellectual Disability;*Cataract;*Coloboma;*Facies;*Kyphosis
ARGININE:GLYCINE AMIDINOTRANSFERASE DEFICIENCY,Arginine:Glycine Amidinotransferase Deficiency,F03.625.421,C10.597.606.150.500.800,C23.888.592.604.150.500.800,C16.320.565.100,C18.452.648.100,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,D08.811.913.555.150,,,,,,,,,,,,mutation in GATM,"Developmental Disabilities;*Speech Disorders;*Amino Acid Metabolism, Inborn Errors;*Intellectual Disability;Amidinotransferases/*deficiency"
GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY,Guanidinoacetate methyltransferase deficiency,D08.811.913.555.500.425,C10.228.662,C10.597.606.150.500.550,C23.888.592.604.150.500.550,,,,,,,,,,,,,,,,,,"A hereditary autosomal recessive error of CREATINE synthesis characterized by language development disorders, DEVELOPMENTAL DISABILITIES; INTELLECTUAL DISABILITY; SEIZURES; ATAXIA; MUSCLE SPASTICITY, severe depletion of creatine/PHOSPHOCREATINE in the brain, and accumulation of guanidinoacetic acid (GAA) in brain and body fluids. Mutations in the GAMT gene have been identified. OMIM: 612736",Guanidinoacetate N-Methyltransferase/*deficiency;Movement Disorders/*congenital;*Language Development Disorders
CONE-ROD DYSTROPHY 9,,,,,,,,,,,,,,,,,,,,,,,,
IMMUNODEFICIENCY 9,,,,,,,,,,,,,,,,,,,,,,,,
IMMUNODEFICIENCY 10,,,,,,,,,,,,,,,,,,,,,,,,
ATRIAL SEPTAL DEFECT 5,Atrial Septal Defect 5,C14.240.400.560.375,C14.280.400.560.375,C16.131.240.400.560.375,D05.750.078.730.250,D12.776.210.500.100,D12.776.220.525.255,,,,,,,,,,,,,,,,aka ASD5,"*Heart Septal Defects, Atrial;Actins/*deficiency"
"QUESTION MARK EARS, ISOLATED",,,,,,,,,,,,,,,,,,,,,,,,
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, AGGRECAN TYPE","Spondyloepimetaphyseal Dysplasia, Aggrecan Type",C05.116.099,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,,,,,,"*Bone Diseases, Developmental;*Craniofacial Abnormalities"
BRUGADA SYNDROME 5,Brugada Syndrome 5,C14.280.067.322,C16.320.100,,,,,,,,,,,,,,,,,,,,,*Brugada Syndrome
"LEUKOCYTE ADHESION DEFICIENCY, TYPE III","Leukocyte Adhesion Deficiency, Type III",C20.673.600,,,,,,,,,,,,,,,,,,,,,aka LAD1V or IADD; associated with mutations in KIND3,*Leukocyte-Adhesion Deficiency Syndrome
BRACHYOLMIA TYPE 4 WITH MILD EPIPHYSEAL AND METAPHYSEAL CHANGES,,,,,,,,,,,,,,,,,,,,,,,,
INTERLEUKIN 1 RECEPTOR ANTAGONIST DEFICIENCY,Deficiency of interleukin-1 receptor antagonist,C16.320.382,C17.800.827.368,D12.644.276.374.460,D12.776.467.374.460,D23.529.374.460,,,,,,,,,,,,,,,,,A hereditary autosomal recessive autoinflammatory disease caused by a deficiency in the interleukin-1 receptor antagonist protein due to mutations in the IL1RN gene. It is characterized by FETAL DISTRESS at delivery and multiple abnormalities affecting the LIVER; SPLEEN; SKIN; BONES and JOINTS. OMIM: 612852,*Hereditary Autoinflammatory Diseases;Interleukin 1 Receptor Antagonist Protein
ERYTHROCYTE AMP DEAMINASE DEFICIENCY,Erythrocyte Amp Deaminase Deficiency,C05.651,C10.668.491,D08.811.277.151.653.060,,,,,,,,,,,,,,,,,,,,*Muscular Diseases;AMP Deaminase/*deficiency
